Longitude1,Latitude1,Campus Name,Long Campus Name,Address 1,Address 2,City,State,Zip,County,Institution Level,Institution Type,Enrollment As Of,Undergraduate Enrollment,Graduate Enrollment,Program 1,Program 2,Program 3,Program 4,Program 5,Campus Website,Location
-73.656311,43.3507652,Adirondack,ADIRONDACK COMMUNITY COLLEGE,640 BAY RD, ,QUEENSBURY,NY,12804,Warren,2-year,Community Colleges,Fall 2018,3727,0,Liberal Arts & Sciences: Humanities & Social Science,Liberal Arts & Sciences: Math & Science,Business-Business Administration,Nursing,Criminal Justice: Police,http://www.sunyacc.edu,"640 BAY RD
QUEENSBURY, NY 12804
(43.3507652, -73.656311)"
-77.9509811,43.2119102,Brockport,STATE UNIVERSITY COLLEGE AT BROCKPORT, 350 NEW CAMPUS DR, ,BROCKPORT,NY,14420,Monroe,4-year,Comprehensive Colleges,Fall 2018,7057,1230,Nursing,Business Administration,Psychology,Health Science,Criminal Justice,http://www.brockport.edu/,"350 NEW CAMPUS DR
BROCKPORT, NY 14420
(43.2119102, -77.9509811)"
-76.5238113,42.9488068,Cayuga County,CAYUGA COUNTY COMMUNITY COLLEGE,197 FRANKLIN ST, ,AUBURN,NY,13021,Cayuga,2-year,Community Colleges,Fall 2018,3775,0,Liberal Arts & Sciences: Humanities & Social Science,Lib Arts & Sci--Math & Science,Bus--Business Administration,Health Sciences,Business: Business Administration,http://www.cayuga-cc.edu/,"197 FRANKLIN ST
AUBURN, NY 13021
(42.9488068, -76.5238113)"
-75.2718658,43.0969925,SUNY POLY,STATE UNIVERSITY OF NEW YORK INSTITUTE OF TECHNOLOGY AT UTICA / ROME,100 SEYMOUR RD,,UTICA,NY,13504,Oneida,4-year,Technology Colleges,Fall 2018,2256,767,Computer & Information Science,Family Nurse Practitioner,Business Administration,Mechanical Engineering Technology,Network & Computer Security,http://www.sunyit.edu,"100 SEYMOUR RD
UTICA, NY 13504
(43.0969925, -75.2718658)"
-73.5742111,40.7985573,Old Westbury,STATE UNIVERSITY COLLEGE AT OLD WESTBURY,PO BOX 210, ,OLD WESTBURY,NY,11568,Nassau,4-year,Comprehensive Colleges,Fall 2018,4784,303,Psychology,Biological Sciences,Accounting,Criminology,Business Administration,http://www.oldwestbury.edu,"PO BOX 210
OLD WESTBURY, NY 11568
(40.7985573, -73.5742111)"
-73.9851379,40.758503,Fashion Institute,FASHION INSTITUTE OF TECHNOLOGY,SEVENTH AVE AT 27 ST, ,NEW YORK,NY,10001,New York,4-year,Community Colleges,Fall 2018,8555,212,Fashion Business Management,Advertising & Marketing Communications,Fashion Design,Illustration,International Trade & Marketing For The Fashion Industries,http://www.fitnyc.edu,"SEVENTH AVE AT 27 ST
NEW YORK, NY 10001
(40.758503, -73.9851379)"
-75.6411972,42.8959999,Morrisville,STATE UNIVERSITY OF NEW YORK COLLEGE OF AGRICULTURE AND TECHNOLOGY AT MORRISVILLE,80 EASTON ST, ,MORRISVILLE,NY,13408,Madison,4-year,Technology Colleges,Fall 2018,2986,0,Nursing,Individual Studies,Criminal Justice,Automotive Technology,Agriculture: Animal Science - Equine Science & Management,http://www.morrisville.edu,"80 EASTON ST
MORRISVILLE, NY 13408
(42.8959999, -75.6411972)"
-77.2724304,42.8767853,Finger Lakes,FINGER LAKES COMMUNITY COLLEGE,3325 MARVIN SANDS DR, ,CANANDAIGUA,NY,14424,Ontario,2-year,Community Colleges,Fall 2018,5944,0,Liberal Arts & Sciences,Health Care Studies,Business: Business Administration,Human Services,Business-Business Administration,http://www.flcc.edu,"3325 MARVIN SANDS DR
CANANDAIGUA, NY 14424
(42.8767853, -77.2724304)"
-73.9524078,42.8150826,Schenectady County,SCHENECTADY COUNTY COMMUNITY COLLEGE,78 WASHINGTON AVE, ,SCHENECTADY,NY,12305,Schenectady,2-year,Community Colleges,Fall 2018,5231,0,Business: Business Administration,"Hotel Technology, Culinary Arts",Criminal Justice,Liberal Arts & Sciences: Humanities & Social Science,Health Studies,http://www.sunysccc.edu,"78 WASHINGTON AVE
SCHENECTADY, NY 12305
(42.8150826, -73.9524078)"
-76.4746933,42.4458351,Cornell Statutory,CORNELL STATUTORY COLLEGES,DAY HALL, ,ITHACA,NY,14853,Tompkins,4-year,Doctoral Degree Granting Institutions,Fall 2018,5968,2215,Nys College Of Agriculture And Life Sciences,Nys College Of Human Ecology,Nys School Of Industrial And Labor Relations ,Nys College Of Veterinary Medicine ,,http://www.cornell.edu,"DAY HALL
ITHACA, NY 14853
(42.4458351, -76.4746933)"
-73.7833099,43.0773811,Empire State,STATE UNIVERSITY OF NEW YORK EMPIRE STATE COLLEGE,2 UNION AVE, ,SARATOGA SPRINGS,NY,12866,Sararoga,4-year,Comprehensive Colleges,Fall 2018,9327,1097,"Business, Management & Economics",Community & Human Services,Labor Studies (NYC Center Only),"Science, Math & Technology",Human Development,http://www.esc.edu,"2 UNION AVE
SARATOGA SPRINGS, NY 12866
(43.0773811, -73.7833099)"
-74.4265747,41.4395943,Orange County,ORANGE COUNTY COMMUNITY COLLEGE,115 SOUTH ST, ,MIDDLETOWN,NY,10940,Orange,2-year,Community Colleges,Fall 2018,6617,0,Liberal Arts & Sciences: Math & Science,Liberal Arts & Sciences: Humanities & Social Sciences,Nursing,Business: Business Administration,Business Management,http://orange.cc.ny.us,"115 SOUTH ST
MIDDLETOWN, NY 10940
(41.4395943, -74.4265747)"
-76.2984009,42.4971085,Tompkins Cortland,TOMPKINS-CORTLAND COMMUNITY COLLEGE,170 NORTH ST, PO BOX 139,DRYDEN,NY,13053,Tompkins,2-year,Community Colleges,Fall 2018,2373,0,Lib Arts & Sci--General Studies,Bus--Business Administration,Nursing,Criminal Justice-Police,Human Services,http://www.tc3.edu,"170 NORTH ST
DRYDEN, NY 13053
(42.4971085, -76.2984009)"
-77.8248215,42.7967949,Geneseo,STATE UNIVERSITY COLLEGE AT GENESEO,1 COLLEGE CIRCLE, ,GENESEO,NY,14454,Livingston,4-year,Comprehensive Colleges,Fall 2018,5494,94,Biology,Psychology,Business Administration,Accounting,Communication,http://www.geneseo.edu,"1 COLLEGE CIRCLE
GENESEO, NY 14454
(42.7967949, -77.8248215)"
-73.8232956,42.6907845,Albany,STATE UNIVERSITY OF NEW YORK AT ALBANY,1400 WASHINGTON AVENUE, ,ALBANY,NY,12222,Albany,4-year,Doctoral Degree Granting Institutions,Fall 2018,13598,4346,Business Administration,Biology,Economics,Computer Science,Psychology,http://www.albany.edu,"1400 WASHINGTON AVENUE
ALBANY, NY 12222
(42.6907845, -73.8232956)"
-75.8884735,42.1678047,Broome,BROOME COMMUNITY COLLEGE,UPPER FRONT ST,PO BOX 1017,BINGHAMTON,NY,13902,Broome,2-year,Community Colleges,Fall 2018,6507,0,Individual Studies,Liberal Arts And Sciences,Bus--Business Administration,Human Services,Criminal Justice-Police,http://www.sunybroome.edu/,"UPPER FRONT ST
BINGHAMTON, NY 13902
(42.1678047, -75.8884735)"
-73.7826691,41.0705185,Westchester,WESTCHESTER COMMUNITY COLLEGE,75 GRASSLANDS RD, ,VALHALLA,NY,10595,Westchester,2-year,Community Colleges,Fall 2018,11535,0,Liberal Arts & Sciences: Social Sciences,Liberal Arts & Sciences--Math & Science,Criminal Justice-Police,Business Management,Liberal Arts & Sciences: Humanities,http://www.sunywcc.edu,"75 GRASSLANDS RD
VALHALLA, NY 10595
(41.0705185, -73.7826691)"
-78.1380844,43.0168915,Genesee,GENESEE COMMUNITY COLLEGE,ONE COLLEGE RD, ,BATAVIA,NY,14020,Genesee,2-year,Community Colleges,Fall 2018,5530,0,Liberal Arts & Sciences: General Studies,Business Administration,Nursing,Health Studies,Criminal Justice,http://www.genesee.edu,"ONE COLLEGE RD
BATAVIA, NY 14020
(43.0168915, -78.1380844)"
-73.5510559,40.7482071,Nassau,NASSAU COMMUNITY COLLEGE,1 EDUCATION DR, ,GARDEN CITY,NY,11530,Nassau,2-year,Community Colleges,Fall 2018,17406,0,Liberal Arts & Sciences: Humanities & Social Science,Business: Business Administration,Liberal Arts & Sciences: Math & Science,Criminal Justice,Business: Accounting,http://www.ncc.edu,"1 EDUCATION DR
GARDEN CITY, NY 11530
(40.7482071, -73.5510559)"
-76.1362228,43.0342941,Envir Sci & Forestry,STATE UNIVERSITY OF NEW YORK COLLEGE OF ENVIRONMENTAL SCIENCE AND FORESTRY AT SYRACUSE,1 FORESTRY DR, ,SYRACUSE,NY,13210,Onondaga,4-year,Doctoral Degree Granting Institutions,Fall 2018,1825,395,Environmental Resources Engineering,Environmental Science,Environmental Biology,Conservation Biology,Environmental Studies,http://www.esf.edu,"1 FORESTRY DR
SYRACUSE, NY 13210
(43.0342941, -76.1362228)"
-75.9313431,43.9843063,Jefferson,JEFFERSON COMMUNITY COLLEGE,1220 COFFEEN ST, ,WATERTOWN,NY,13601,Jefferson,2-year,Community Colleges,Fall 2018,3277,0,Liberal Arts & Sciences--Humanities & Social Science,Liberal Arts & Sciences: Mathematics & Sciences,Individual Studies,Business: Business Administration,Criminal Justice,http://www.sunyjefferson.edu,"1220 COFFEEN ST
WATERTOWN, NY 13601
(43.9843063, -75.9313431)"
-75.1620026,44.5889854,Canton,STATE UNIVERSITY OF NEW YORK COLLEGE OF TECHNOLOGY AT CANTON,34 CORNELL DR, ,CANTON,NY,13617,St. Lawrence,2-year,Technology Colleges,Fall 2018,3216,0,Nursing,Health Care Management,Individual Studies,Criminal Investigation,Veterinary Technology,http://www.canton.edu/,"34 CORNELL DR
CANTON, NY 13617
(44.5889854, -75.1620026)"
-73.1226883,40.9181595,Stony Brook,STATE UNIVERSITY OF NEW YORK AT STONY BROOK,100 NICOLLS RD, ,STONY BROOK,NY,11794,Suffolk,4-year,Doctoral Degree Granting Institutions,Fall 2018,17474,8762,Biology,Computer Science,Business Management,Psychology,Health Science,http://www.sunysb.edu,"100 NICOLLS RD
STONY BROOK, NY 11794
(40.9181595, -73.1226883)"
